主基金名稱,基金規模 (台幣)
瀚亞精選傘型基金之債券精選組合基金,1039665901
玉山新興趨勢組合基金,747159057
安聯全球綠能趨勢基金,6297019114
柏瑞拉丁美洲基金,692151049
華南永昌全球精品基金,440940915
國泰全球基礎建設基金,1466713217
瀚亞亞太不動產證券化基金,520353786
復華亞太成長基金,4694215059
街口全球時尚精品基金,203992915
野村全球生技醫療基金,1396087989
群益新興金鑽基金,661294163
富蘭克林華美坦伯頓全球股票組合基金,736620005
台新主流基金,2678989300
統一強漢基金,10968154012
匯豐全球趨勢組合基金,465624495
柏瑞美國雙核心收益基金,1194694239
凱基台商天下基金,537945020
元大全球地產建設入息基金,483576507
瀚亞亞太基礎建設基金,398369684
永豐主流品牌基金,236998475
第一金全球不動產證券化基金,104922240
中國信託台灣活力基金,1268934560
復華全球資產證券化基金,1786163132
元大台灣金融基金,4011210870
元大台灣電子科技基金,1234812527
富邦大中華成長基金,735830729
宏利精選中華基金,484181416
匯豐全球關鍵資源基金,942928597
富邦亞洲機會基金,218750107
統一台灣動力基金,9390974412
安聯全球股票多元投資風格基金,1843339084
玉山全球資源基金,2597971794
富邦首選基金,689854186
施羅德台灣樂活中小基金,4594877048
復華奧林匹克全球優勢組合基金,7829367344
元大台灣高股息基金,703519016446
富邦全球抗暖化基金,394219126
玉山全球基礎建設基金,1203794505
摩根新絲路基金,633650681
富邦台灣ETF傘型基金之富邦台灣摩根指數股票型基金,464664937
安聯全球農金趨勢基金,1812160451
富蘭克林華美新世界股票基金,2652033278
安聯台灣智慧基金,59709748699
合庫標普利變特別股收益指數基金,434534263
復華亞太神龍科技基金,16559647714
國泰息收ETF傘型基金之10年期(以上)BBB美元息收公司債券基金,126569591610
國泰息收ETF傘型基金之優選1-5年美元非投資等級債券基金,2246444733
國泰息收ETF傘型基金之新興市場5年期(以上)美元息收投資等級債券基金,38714144234
瑞銀全方位非投資等級債券基金,339090104
第一金臺灣工業菁英30 ETF基金,2342853812
富邦道瓊臺灣優質高息30ETF基金,1963251143
富蘭克林華美特別股收益基金,1668336372
安聯收益成長多重資產基金,62056847406
永豐全球多元入息基金,134543615
統一大東協高股息基金,541325914
復華富時台灣高股息低波動基金,1920508827
國泰優勢收益傘型基金之主順位資產抵押非投資等級債券基金,5898144843
台新摩根大通新興市場投資等級美元債券ETF基金,390342224
群益全球優先順位非投資等級債券基金,3006058336
富邦臺灣中小A級動能50ETF基金,3867435361
第一金全球AI精準醫療基金,2049976692
野村全球金融收益基金,13542029885
國泰趨勢ETF傘型基金之納斯達克全球人工智慧及機器人基金,873816957
國泰趨勢ETF傘型基金之臺韓科技基金,11995484964
國泰趨勢ETF傘型基金之富時新興市場基金,212916076
元大MSCI中國A股國際通ETF基金,728761493
貝萊德享退休系列2030目標日期組合基金,323492450
貝萊德享退休系列2040目標日期組合基金,199452873
貝萊德享退休系列2050目標日期組合基金,334431767
富邦全方位入息ETF傘型基金之富邦彭博優選1-5年非投資等級債券ETF基金,495431555
富邦全方位入息ETF傘型基金之富邦彭博10年期(以上)BBB美元息收公司債券ETF基金,82721130952
中國信託智慧城市建設基金,212780121
宏利特別股息收益基金,460934064
路博邁全球非投資等級債券基金,5778924847
富邦多元收益ETF傘型基金之富邦彭博9-35年A級美元息收公司債券ETF基金,88337758898
瀚亞多重收益優化組合基金,36467053561
富達全球多重資產收益組合基金,149049455
元大20年期以上AAA至A級美元公司債券ETF基金,157767092587
凱基全球息收ETF傘型基金之凱基10年期以上新興市場BBB美元主權債及類主權債券ETF基金,34551946710
凱基全球息收ETF傘型基金之凱基10年期以上科技業公司債券ETF基金,4741034954
群益2028 REVERSO美元保本基金,141046382
路博邁收益成長多重資產基金,4289211702
聯博中國A股基金,686191358
玉山印度機會債券基金,160017786
景順2028到期精選新興債券基金,8111511217
