主基金名稱,經理 人姓名
國泰台灣貨幣市場基金,吳艷琴
復華傳家二號基金,郭家宏
瀚亞理財通基金,劉家宏
摩根平衡基金,葉鴻儒(核心經理人) 郭世宗(協管經理人，管理類別:2) 沈馨(協管經理人，管理類別:1)
群益平衡王基金,鄭秉倫
野村ｅ科技基金,謝文雄
國泰中小成長基金,余彥良
玉山金平衡基金,陳詩晴
兆豐寶鑽貨幣市場基金,何姍容
安聯台灣科技基金,蕭惠中(核心經理人) 李侃奇(協管經理人，管理類別:1)
復華中小精選基金,趙建彰
野村中小基金,邱翠欣
聯邦中國龍基金,林建良
德銀遠東DWS台灣旗艦基金,劉坤儒
國泰大中華基金,林靜怡
貝萊德寶利基金,李友千
野村優質基金,陳茹婷
群益創新科技基金,陳朝政
第一金電子基金,張正中
台新1699貨幣市場基金,楊麗靖
元大店頭基金,毛詩豪
元大萬泰貨幣市場基金,劉晶樺
群益店頭市場基金,許育誌
第一金台灣貨幣市場基金,鄭純淑
富邦日盛基金,高晧欣
玉山瑞騰基金,張世東
野村泰國基金,陳亭安
富邦精銳中小基金,王俊穎
第一金店頭市場基金,黃筱雲
柏瑞巨人基金,高豪志
摩根東方科技基金,蓋欣聖
摩根亞太高息平衡基金,黃銘功(核心經理人) 周佑侖(協管經理人，管理類別:2)
瀚亞印度基金,林庭樟
柏瑞旗艦全球債券組合基金,詹惠羽
元大全球不動產證券化基金,陳品橋
富蘭克林華美富蘭克林全球債券組合基金,陳怡均
台新高股息平衡基金,劉宇衡
群益多重資產組合基金,姚伊蔚、葉啟芳
野村全球不動產證券化基金,黃鈺文
復華全方位基金,戎宜蘋
匯豐中國動力基金,蕭正義
富蘭克林華美中華基金,陳宏毅(核心經理人) 馬偉傑(協管經理人，管理類別:1;2;3;4)
台新中國成長基金,簡秀君
元大新中國基金,吳育瑄
野村中國機會基金,劉尹璇
安聯中國策略基金,蘇泰弘
復華全球短期收益基金,黃媛君
元大大中華價值指數基金,張克豪
第一金全球非投資等級債券基金,蔡東穎
永豐亞洲民生消費基金,羅嘉德
群益東方盛世基金,洪玉婷
元大標智滬深300基金,張克豪
凱基台灣精五門基金,洪敏洋
第一金中國世紀基金,方鈺璋
復華高益策略組合基金,吳易欣
國泰中港台基金,張聖鴻
元大印度基金,張哲銘
摩根中國亮點基金,吳昱聰
安聯全球油礦金趨勢基金,林孟洼
群益華夏盛世基金,李忠翰
宏利亞太入息債券基金,李育昇
瀚亞巴西基金,賴盈良
摩根台灣金磚基金,葉鴻儒
統一大龍印基金,林文健
元大新興亞洲基金,張哲銘
野村巴西基金,高君逸
第一金亞洲新興市場基金,方鈺璋
玉山拉丁美洲基金,張銀成
群益印巴雙星基金,張諺祺
復華全球原物料基金,蔡盛宇
宏利亞太中小企業基金,陳伯禎
安聯中國東協基金,蘇泰弘
國泰豐益債券組合基金,廖子淇
柏瑞新興市場非投資等級債券基金,許雅婷
摩根新金磚五國基金,魏伯宇
富蘭克林華美新興趨勢傘型基金之天然資源組合基金,褚國廷
台中銀中國精選成長基金,王欣群
台新中國精選中小基金,游欣穎
凱基新興趨勢ETF組合基金,黃廷偉
匯豐資源豐富國家收益基金,何立凱
第一金創新趨勢基金,鄭國華
統一大中華中小基金,林睿廷
國泰新興市場基金,陳怡帆
元大印尼指數基金,許家瑋
元大巴西指數基金,李政剛
復華新興債股動力組合基金,劉明滄
瀚亞全球非投資等級債券基金,周曉蘭
宏利新興市場非投資等級債券基金,鍾美君
富邦MIT主流基金,陳柏因
富邦全球投資等級債券基金,林建璋
復華大中華中小策略基金,楊書婷
野村雙印傘型基金之印度潛力基金,陳亭安
摩根總收益組合基金,郭世宗
元大富櫃50基金,曾逸江
群益東協成長基金,張諺祺
富蘭克林華美中國消費基金,邱泓瑞
玉山中國品牌基金,林哲宇
台新新興傘型基金之台新新興市場機會股票基金,孫光政
群益印度中小基金,向思穎
永豐新興市場及非投資等級雙債組合基金,鄭向吾
復華新興市場短期收益基金,吳宜潔
復華新興市場非投資等級債券基金,施尚文
元大摩臺基金,程惇亞
富蘭克林華美台股傘型基金之高科技基金,林美如(核心經理人) 羅兆弘(協管經理人，管理類別:1)
野村亞太複合非投資等級債券基金,王韋智
國泰中國內需增長基金,翁智信
統一新亞洲科技能源基金,郭智偉
合庫台灣基金,陳元漢
台新印度基金,黃俊晏
富邦中國內需動力基金,蔡宗和
凱基新興市場中小基金,吳志文
國泰新興非投資等級債券基金,沈育民
永豐臺灣加權ETF基金,王茗冠
復華東協世紀基金,林光佑
富邦上証180基金,陳仲愷
摩根亞洲總合非投資等級債券基金,周佑侖
瀚亞中國A股基金,林庭樟
群益大中華雙力優勢基金,李忠翰
宏利中國離岸債券基金,陳培倫
安聯四季豐收債券組合基金,許家豪(核心經理人) 劉珉睿(協管經理人，管理類別:3)
柏瑞旗艦全球成長組合基金,邢是霈
群益安家基金,張晏禎
摩根全球創新成長基金,黃銘功
永豐中國經濟建設基金,許書豪
國泰中國新興戰略基金,張聖鴻
施羅德中國非投資等級債券基金,司雯
富邦亞洲非投資等級債券基金,黃詩紋
柏瑞ESG新興市場企業策略債券基金,陳柏元
元大上證50基金,李舒禾
復華滬深300 A股基金,廖崇文
富蘭克林華美全球非投資等級債券基金,陳柏翰
富邦台灣釆吉50基金,洪珮甄
統一亞洲大金磚基金,黃柏章
凱基雲端趨勢基金,吳志文
合庫全球非投資等級債券基金,楊嘉煒
富蘭克林華美貨幣市場基金,王銘祥
復華南非幣短期收益基金,吳宜潔
復華南非幣長期收益基金,吳宜潔
永豐新興市場企業債券基金,陳雅筑
富蘭克林華美全球投資級債券基金,余冠廷
摩根中國A股基金,魏伯宇
富邦亞太債券傘型基金之富邦亞太優質債券基金,林建璋
富邦亞太債券傘型基金之富邦中國非投資等級債券基金,黃詩紋
玉山新興市場企業債券基金,鄭宇君
合庫新興多重收益基金,吳鍵佐
永豐滬深300紅利指數基金,林永祥
復華全球消費基金,張正宇
復華美國新星基金,黃俊瑞
野村環球非投資等級債券基金,郭臻臻
安聯四季雙收入息組合基金,陳信逢
匯豐中國A股匯聚基金,蕭正義
國泰人民幣貨幣市場基金,朱書賢
群益美國新創亮點基金,吳承恕
群益全球關鍵生技基金,蔡詠裕
柏瑞新興亞太策略債券基金,施宜君
聯博收益傘型基金之聯博債券收益組合基金,陳俊憲
聯博收益傘型基金之聯博多元資產收益組合基金,黃靜怡
兆豐人民幣貨幣市場基金,蔡伯甯
群益中國新機會基金,謝天翎
台新中國傘型基金之台新中証消費服務領先指數基金,葉宇真
群益工業國入息基金,楊慈珍
摩根泛亞太股票入息基金,黃銘功
聯邦環太平洋平衡基金,黃耀德
華南永昌中國A股基金,張瀚宇
元大人民幣貨幣市場基金,劉晶樺
復華全球戰略配置強基金,劉明滄
富蘭克林華美中國傘型基金之中國A股基金,蘇士勛
柏瑞亞洲亮點股票基金,馬治雲
玉山中國中小基金,陳舜津
安聯四季成長組合基金,林季潔
國泰收益傘型基金之全球多重收益平衡基金,楚方媛
兆豐中國A股基金,李長昇
統一大龍騰中國基金,蘇柏勳
國泰亞洲成長基金,黃世暐
台新全球生技醫療基金,歐陽禎儀
摩根多元入息成長基金,陳建銘
華南永昌多重資產入息平衡基金,申暉弘
元大台灣50單日正向2倍基金,曾逸江
元大台灣50單日反向1倍基金,陳威志
瀚亞亞太豐收平衡基金,周曉蘭
富邦中國ETF傘型基金之富邦上証180單日正向兩倍基金,林旻致
富邦中國ETF傘型基金之富邦上証180單日反向一倍基金,溫芳儀
聯博多重資產傘型基金之聯博歐洲多重資產基金,黃靜怡
聯博多重資產傘型基金之聯博亞太多重資產基金,黃靜怡
元大大中華TMT基金,吳育瑄
富蘭克林華美全球成長基金,游信凱
安聯目標收益基金,陳信逢
群益環球金綻雙喜基金,許書銘、朱哲均
野村動態配置多重資產基金,林澄謦、劉佳奇
聯博全球非投資等級債券基金,陳俊憲
國泰富時中國A50基金,楊庭杰
摩根新興雙利平衡基金,黃銘功(核心經理人) 周佑侖(協管經理人，管理類別:2)
合庫貨幣市場基金,楊嘉煒
元大滬深300單日反向1倍基金,張克豪
元大滬深300單日正向2倍基金,李舒禾
群益中國金采平衡基金,李運婷
富邦深証100基金,林旻致
復華中國新經濟平衡基金,胡家菱
復華中國新經濟A股基金,楊書婷
元大全球股票入息基金,陳品橋
野村美利堅非投資等級債券基金,郭臻臻
安聯中華新思路基金,蘇泰弘
富邦日本ETF傘型基金之富邦日本東証單日正向兩倍基金,陳仲愷
富邦日本ETF傘型基金之富邦日本東証單日反向一倍基金,林威宇
摩根中國雙息平衡基金,黃銘功(核心經理人) 周佑侖(協管經理人，管理類別:2)
元大新興印尼機會債券基金,陳慕忻
群益深証中小100基金,洪祥益
