基金名稱,名次,券商,總手續費,總手續費占比,交易金額,股票手續費,平均手續費率,投信,主基金名稱
群益馬拉松基金,5,凱基證券,2547976,7.63%,2317050800,2547976,0.11%,群益投信,群益馬拉松基金
台中銀數位時代基金 (本基金配息來源可能為本金),1,元大證券,50937,15.77%,63689150,50937,0.08%,台中銀投信,台中銀數位時代基金
台中銀數位時代基金 (本基金配息來源可能為本金),2,群益金鼎證券,29455,9.12%,32745350,29455,0.09%,台中銀投信,台中銀數位時代基金
台中銀數位時代基金 (本基金配息來源可能為本金),3,統一綜合證券,26754,8.28%,29738000,26754,0.09%,台中銀投信,台中銀數位時代基金
台中銀數位時代基金 (本基金配息來源可能為本金),4,台中銀證券,23930,7.41%,26597950,23930,0.09%,台中銀投信,台中銀數位時代基金
台中銀數位時代基金 (本基金配息來源可能為本金),5,台新證券,23662,7.32%,26302105,23662,0.09%,台中銀投信,台中銀數位時代基金
台中銀中國精選成長基金,1,興證國際證券有限公司,174571,21.95%,145475603,174571,0.12%,台中銀投信,台中銀中國精選成長基金
台中銀中國精選成長基金,2,中信證券,106582,13.40%,106583156,106582,0.10%,台中銀投信,台中銀中國精選成長基金
台中銀中國精選成長基金,3,元大證券(香港)有限公司,93491,11.76%,93488969,93491,0.10%,台中銀投信,台中銀中國精選成長基金
台中銀中國精選成長基金,4,國投證券（香港）有限公司,77542,9.75%,77542194,77542,0.10%,台中銀投信,台中銀中國精選成長基金
台中銀中國精選成長基金,5,第一上海證券股份有限公司,103084,12.96%,68721855,103084,0.15%,台中銀投信,台中銀中國精選成長基金
台中銀台灣優息基金,1,元大證券,764266,19.49%,957462800,764266,0.08%,台中銀投信,台中銀台灣優息基金
台中銀台灣優息基金,2,富邦證券,674381,17.20%,752056450,674381,0.09%,台中銀投信,台中銀台灣優息基金
台中銀台灣優息基金,3,永豐金證券,638726,16.29%,731881150,638726,0.09%,台中銀投信,台中銀台灣優息基金
台中銀台灣優息基金,4,華南永昌綜合證券,506098,12.91%,634694600,506098,0.08%,台中銀投信,台中銀台灣優息基金
台中銀台灣優息基金,5,凱基證券,493028,12.58%,620434600,493028,0.08%,台中銀投信,台中銀台灣優息基金
台中銀大發基金 (本基金配息來源可能為本金),1,元大證券,171503,12.61%,214394220,171503,0.08%,台中銀投信,台中銀大發基金
台中銀大發基金 (本基金配息來源可能為本金),2,富邦證券,113368,8.34%,125985990,113368,0.09%,台中銀投信,台中銀大發基金
台中銀大發基金 (本基金配息來源可能為本金),3,台中銀證券,106736,7.85%,118623200,106736,0.09%,台中銀投信,台中銀大發基金
台中銀大發基金 (本基金配息來源可能為本金),4,永豐金證券,103482,7.61%,118297700,103482,0.09%,台中銀投信,台中銀大發基金
台中銀大發基金 (本基金配息來源可能為本金),5,第一金證券,103595,7.62%,115125500,103595,0.09%,台中銀投信,台中銀大發基金
聯博投資等級債入息主動式ETF基金 (本基金有一定比重得投資於非投資等級之高風險債券，配息來源可能為收益平準金且並無保證收益及配息),1,JANE STREET FINANCIAL LIMITED,0,0.00%,0,0,0.00%,聯博投信,聯博投資等級債入息主動式ETF基金
聯博投資等級債入息主動式ETF基金 (本基金有一定比重得投資於非投資等級之高風險債券，配息來源可能為收益平準金且並無保證收益及配息),2,MORGAN STANLEY & CO. LLC,0,0.00%,0,0,0.00%,聯博投信,聯博投資等級債入息主動式ETF基金
聯博投資等級債入息主動式ETF基金 (本基金有一定比重得投資於非投資等級之高風險債券，配息來源可能為收益平準金且並無保證收益及配息),3,J.P.MORGAN SECURITIES INC NY,0,0.00%,0,0,0.00%,聯博投信,聯博投資等級債入息主動式ETF基金
聯博投資等級債入息主動式ETF基金 (本基金有一定比重得投資於非投資等級之高風險債券，配息來源可能為收益平準金且並無保證收益及配息),4,CITIGROUP GLOBAL MARKETS INC,0,0.00%,0,0,0.00%,聯博投信,聯博投資等級債入息主動式ETF基金
聯博投資等級債入息主動式ETF基金 (本基金有一定比重得投資於非投資等級之高風險債券，配息來源可能為收益平準金且並無保證收益及配息),5,GOLDMAN SACHS AND CO,0,0.00%,0,0,0.00%,聯博投信,聯博投資等級債入息主動式ETF基金
聯博優選全球非投資等級債券主動式ETF基金 (本基金主要投資於非投資等級之高風險債券，配息來源可能為收益平準金且並無保證收益及配息),1,MORGAN STANLEY & CO. LLC,0,0.00%,0,0,0.00%,聯博投信,聯博優選全球非投資等級債券主動式ETF基金
聯博優選全球非投資等級債券主動式ETF基金 (本基金主要投資於非投資等級之高風險債券，配息來源可能為收益平準金且並無保證收益及配息),2,GOLDMAN SACHS AND CO,0,0.00%,0,0,0.00%,聯博投信,聯博優選全球非投資等級債券主動式ETF基金
聯博優選全球非投資等級債券主動式ETF基金 (本基金主要投資於非投資等級之高風險債券，配息來源可能為收益平準金且並無保證收益及配息),3,CITIGROUP GLOBAL MARKETS INC,0,0.00%,0,0,0.00%,聯博投信,聯博優選全球非投資等級債券主動式ETF基金
聯博優選全球非投資等級債券主動式ETF基金 (本基金主要投資於非投資等級之高風險債券，配息來源可能為收益平準金且並無保證收益及配息),4,群益金鼎證券,0,0.00%,0,0,0.00%,聯博投信,聯博優選全球非投資等級債券主動式ETF基金
聯博優選全球非投資等級債券主動式ETF基金 (本基金主要投資於非投資等級之高風險債券，配息來源可能為收益平準金且並無保證收益及配息),5,J.P.MORGAN SECURITIES INC NY,0,0.00%,0,0,0.00%,聯博投信,聯博優選全球非投資等級債券主動式ETF基金
聯博台灣動能收益50 主動式ETF基金 (本基金配息來源可能為收益平準金),1,永豐金證券,3499834,37.18%,4390415099,3499834,0.08%,聯博投信,聯博台灣動能收益50 主動式ETF基金
聯博台灣動能收益50 主動式ETF基金 (本基金配息來源可能為收益平準金),2,凱基證券,3107844,33.01%,3890640500,3107844,0.08%,聯博投信,聯博台灣動能收益50 主動式ETF基金
聯博台灣動能收益50 主動式ETF基金 (本基金配息來源可能為收益平準金),3,群益金鼎證券,2031258,21.58%,2543692852,2031258,0.08%,聯博投信,聯博台灣動能收益50 主動式ETF基金
聯博台灣動能收益50 主動式ETF基金 (本基金配息來源可能為收益平準金),4,元大證券,775330,8.24%,970227685,775330,0.08%,聯博投信,聯博台灣動能收益50 主動式ETF基金
聯博台灣動能收益50 主動式ETF基金 (本基金配息來源可能為收益平準金),5,nan,0,0.00%,0,0,0.00%,聯博投信,聯博台灣動能收益50 主動式ETF基金
聯博多重資產傘型基金之聯博歐洲多重資產基金 (本基金得投資於非投資等級之高風險債券且配息來源可能為本金及收益平準金),1,GOLDMAN SACHS INTERNATIONAL LONDON,14301,20.10%,37165289,10868,0.03%,聯博投信,聯博多重資產傘型基金之聯博歐洲多重資產基金
聯博多重資產傘型基金之聯博歐洲多重資產基金 (本基金得投資於非投資等級之高風險債券且配息來源可能為本金及收益平準金),2,ALLIANCEBERNSTEIN,0,0.00%,0,0,0.00%,聯博投信,聯博多重資產傘型基金之聯博歐洲多重資產基金
聯博多重資產傘型基金之聯博歐洲多重資產基金 (本基金得投資於非投資等級之高風險債券且配息來源可能為本金及收益平準金),3,J P MORGAN SECURITIES LTD LDN,8104,11.39%,29012762,8104,0.03%,聯博投信,聯博多重資產傘型基金之聯博歐洲多重資產基金
聯博多重資產傘型基金之聯博歐洲多重資產基金 (本基金得投資於非投資等級之高風險債券且配息來源可能為本金及收益平準金),4,CITIGROUP GLOBAL MKTS LTD LDN,4756,6.68%,23669056,4756,0.02%,聯博投信,聯博多重資產傘型基金之聯博歐洲多重資產基金
聯博多重資產傘型基金之聯博歐洲多重資產基金 (本基金得投資於非投資等級之高風險債券且配息來源可能為本金及收益平準金),5,台灣摩根士丹利證券,6606,9.28%,22019061,6606,0.03%,聯博投信,聯博多重資產傘型基金之聯博歐洲多重資產基金
聯博多重資產傘型基金之聯博亞太多重資產基金 (本基金得投資於非投資等級之高風險債券且配息來源可能為本金及收益平準金),1,ALLIANCEBERNSTEIN,0,0.00%,0,0,0.00%,聯博投信,聯博多重資產傘型基金之聯博亞太多重資產基金
聯博多重資產傘型基金之聯博亞太多重資產基金 (本基金得投資於非投資等級之高風險債券且配息來源可能為本金及收益平準金),2,群益金鼎證券,264596,29.75%,331235100,264596,0.08%,聯博投信,聯博多重資產傘型基金之聯博亞太多重資產基金
聯博多重資產傘型基金之聯博亞太多重資產基金 (本基金得投資於非投資等級之高風險債券且配息來源可能為本金及收益平準金),3,UBS SECURITIES LTD SEOUL,42200,4.74%,140666045,42200,0.03%,聯博投信,聯博多重資產傘型基金之聯博亞太多重資產基金
聯博多重資產傘型基金之聯博亞太多重資產基金 (本基金得投資於非投資等級之高風險債券且配息來源可能為本金及收益平準金),4,MERRILL LYNCH INTL LTD LONDON,34619,3.89%,118762715,34619,0.03%,聯博投信,聯博多重資產傘型基金之聯博亞太多重資產基金
聯博多重資產傘型基金之聯博亞太多重資產基金 (本基金得投資於非投資等級之高風險債券且配息來源可能為本金及收益平準金),5,"""JP MORGAN SECS",41422,4.66%,114730923,41422,0.04%,聯博投信,聯博多重資產傘型基金之聯博亞太多重資產基金
聯博中國A股基金,1,GOLDMAN SACHS AND CO,194850,23.44%,357306784,194850,0.05%,聯博投信,聯博中國A股基金
聯博中國A股基金,2,JP MORGAN SECS(ASIA PAC)LTD HK,197365,23.75%,328941914,197365,0.06%,聯博投信,聯博中國A股基金
聯博中國A股基金,3,MORGAN STANLEY & CO. LLC,154512,18.59%,263879246,154512,0.06%,聯博投信,聯博中國A股基金
聯博中國A股基金,4,MERRILL LYNCH INTL LTD LONDON,134785,16.22%,224641411,134785,0.06%,聯博投信,聯博中國A股基金
聯博中國A股基金,5,JEFFERIES HONG KONG LIMITED,105481,12.69%,175801132,105481,0.06%,聯博投信,聯博中國A股基金
聯博美國傘型基金之聯博美國多重資產收益基金 (本基金得投資於非投資等級之高風險債券且配息來源可能為本金),1,GOLDMAN SACHS AND CO,177880,10.06%,1562667722,156105,0.01%,聯博投信,聯博美國傘型基金之聯博美國多重資產收益基金
聯博美國傘型基金之聯博美國多重資產收益基金 (本基金得投資於非投資等級之高風險債券且配息來源可能為本金),2,J.P. MORGAN CLEARING CORP.,253495,14.34%,379914091,60188,0.02%,聯博投信,聯博美國傘型基金之聯博美國多重資產收益基金
聯博美國傘型基金之聯博美國多重資產收益基金 (本基金得投資於非投資等級之高風險債券且配息來源可能為本金),3,MORGAN STANLEY & CO. LLC,160403,9.07%,886371068,137793,0.02%,聯博投信,聯博美國傘型基金之聯博美國多重資產收益基金
聯博美國傘型基金之聯博美國多重資產收益基金 (本基金得投資於非投資等級之高風險債券且配息來源可能為本金),4,美林證券,235946,13.35%,1485709770,187608,0.01%,聯博投信,聯博美國傘型基金之聯博美國多重資產收益基金
聯博美國傘型基金之聯博美國多重資產收益基金 (本基金得投資於非投資等級之高風險債券且配息來源可能為本金),5,PERSHING LLC,111707,6.32%,2420687049,111707,0.00%,聯博投信,聯博美國傘型基金之聯博美國多重資產收益基金
聯博美國傘型基金之聯博美國成長入息基金 (本基金配息來源可能為本金且並無保證收益及配息),1,美林證券,171504,13.56%,1554165880,171504,0.01%,聯博投信,聯博美國傘型基金之聯博美國成長入息基金
聯博美國傘型基金之聯博美國成長入息基金 (本基金配息來源可能為本金且並無保證收益及配息),2,UBS SECURITIES LLC STAMFORD,166660,13.18%,1048292687,166660,0.02%,聯博投信,聯博美國傘型基金之聯博美國成長入息基金
聯博美國傘型基金之聯博美國成長入息基金 (本基金配息來源可能為本金且並無保證收益及配息),3,WELLS FARGO SECURITIES LLC,129448,10.23%,1041120647,129448,0.01%,聯博投信,聯博美國傘型基金之聯博美國成長入息基金
聯博美國傘型基金之聯博美國成長入息基金 (本基金配息來源可能為本金且並無保證收益及配息),4,J.P. MORGAN CLEARING CORP.,148774,11.76%,1000714226,148774,0.01%,聯博投信,聯博美國傘型基金之聯博美國成長入息基金
聯博美國傘型基金之聯博美國成長入息基金 (本基金配息來源可能為本金且並無保證收益及配息),5,MORGAN STANLEY & CO. LLC,145232,11.48%,919704604,145232,0.02%,聯博投信,聯博美國傘型基金之聯博美國成長入息基金
聯博大利基金,1,群益金鼎證券,428692,35.64%,536254130,428692,0.08%,聯博投信,聯博大利基金
聯博大利基金,2,永豐金證券,227353,18.90%,284597323,227353,0.08%,聯博投信,聯博大利基金
聯博大利基金,3,凱基證券,227055,18.87%,284148800,227055,0.08%,聯博投信,聯博大利基金
聯博大利基金,4,元大證券,169749,14.11%,212390000,169749,0.08%,聯博投信,聯博大利基金
聯博大利基金,5,富邦證券,95220,7.92%,119199500,95220,0.08%,聯博投信,聯博大利基金
柏瑞日本多重資產基金 (本基金配息來源可能為本金),1,MIZUHO,115557,19.24%,385233804,115557,0.03%,柏瑞投信,柏瑞日本多重資產基金
柏瑞日本多重資產基金 (本基金配息來源可能為本金),2,SMBC Nikko Ldn FI,142744,23.77%,475861654,142744,0.03%,柏瑞投信,柏瑞日本多重資產基金
柏瑞日本多重資產基金 (本基金配息來源可能為本金),3,Daiwa Securities Gro,23469,3.91%,78233020,23469,0.03%,柏瑞投信,柏瑞日本多重資產基金
柏瑞日本多重資產基金 (本基金配息來源可能為本金),4,BARCLAYS CAP SEC,0,0.00%,0,0,0.00%,柏瑞投信,柏瑞日本多重資產基金
柏瑞日本多重資產基金 (本基金配息來源可能為本金),5,BANK OF AMERICA SEC,49749,8.28%,157638746,49749,0.03%,柏瑞投信,柏瑞日本多重資產基金
柏瑞美利堅多重資產收益基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),1,ISI GROUP PROGRAM,87086,54.61%,586014446,87086,0.01%,柏瑞投信,柏瑞美利堅多重資產收益基金
柏瑞美利堅多重資產收益基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),2,美商高盛亞洲證券有限公司台北分公司,22169,13.90%,270406068,22169,0.01%,柏瑞投信,柏瑞美利堅多重資產收益基金
柏瑞美利堅多重資產收益基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),3,花旗環球證券,0,0.00%,0,0,0.00%,柏瑞投信,柏瑞美利堅多重資產收益基金
柏瑞美利堅多重資產收益基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),4,Sanford C. Bernstein,19538,12.25%,220279691,19538,0.01%,柏瑞投信,柏瑞美利堅多重資產收益基金
柏瑞美利堅多重資產收益基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),5,台灣摩根士丹利證券,25318,15.88%,116384316,25318,0.02%,柏瑞投信,柏瑞美利堅多重資產收益基金
柏瑞巨人基金,1,香港商野村國際證券有限公司台北分公司,263372,10.98%,329382650,263372,0.08%,柏瑞投信,柏瑞巨人基金
柏瑞巨人基金,2,富邦證券,263013,10.96%,328994050,263013,0.08%,柏瑞投信,柏瑞巨人基金
柏瑞巨人基金,3,國泰綜合證券,242884,10.12%,303654500,242884,0.08%,柏瑞投信,柏瑞巨人基金
柏瑞巨人基金,4,元大證券,242557,10.11%,303317912,242557,0.08%,柏瑞投信,柏瑞巨人基金
柏瑞巨人基金,5,大和國泰證券,237139,9.88%,296623600,237139,0.08%,柏瑞投信,柏瑞巨人基金
柏瑞亞洲亮點股票基金,1,花旗環球證券,107378,18.58%,121267204,107378,0.09%,柏瑞投信,柏瑞亞洲亮點股票基金
柏瑞亞洲亮點股票基金,2,CLSA LTD.,82707,14.31%,81791613,82707,0.10%,柏瑞投信,柏瑞亞洲亮點股票基金
柏瑞亞洲亮點股票基金,3,元大證券,25547,4.42%,31961530,25547,0.08%,柏瑞投信,柏瑞亞洲亮點股票基金
柏瑞亞洲亮點股票基金,4,合作金庫證券,15655,2.71%,31318500,15655,0.05%,柏瑞投信,柏瑞亞洲亮點股票基金
柏瑞亞洲亮點股票基金,5,永豐金證券,15148,2.62%,30332985,15148,0.05%,柏瑞投信,柏瑞亞洲亮點股票基金
柏瑞特別股息收益基金 (本基金並無保證收益及配息且配息來源可能為本金),1,新加坡商瑞銀證券台北分公司,387250,16.73%,2328352511,387250,0.02%,柏瑞投信,柏瑞特別股息收益基金
柏瑞特別股息收益基金 (本基金並無保證收益及配息且配息來源可能為本金),2,摩根大通證券,1040276,44.93%,2494054520,1040276,0.04%,柏瑞投信,柏瑞特別股息收益基金
柏瑞特別股息收益基金 (本基金並無保證收益及配息且配息來源可能為本金),3,台灣摩根士丹利證券,672615,29.05%,1587793689,672615,0.04%,柏瑞投信,柏瑞特別股息收益基金
柏瑞特別股息收益基金 (本基金並無保證收益及配息且配息來源可能為本金),4,BARCLAYS CAP SEC,0,0.00%,0,0,0.00%,柏瑞投信,柏瑞特別股息收益基金
柏瑞特別股息收益基金 (本基金並無保證收益及配息且配息來源可能為本金),5,SeaPort Securities,20633,0.89%,1001449177,20633,0.00%,柏瑞投信,柏瑞特別股息收益基金
柏瑞多重資產特別收益基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),1,台灣摩根士丹利證券,154209,63.99%,438440674,154209,0.04%,柏瑞投信,柏瑞多重資產特別收益基金
柏瑞多重資產特別收益基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),2,摩根大通證券,27117,11.25%,65000975,27117,0.04%,柏瑞投信,柏瑞多重資產特別收益基金
柏瑞多重資產特別收益基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),3,BARCLAYS CAP SEC,0,0.00%,0,0,0.00%,柏瑞投信,柏瑞多重資產特別收益基金
柏瑞多重資產特別收益基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),4,花旗環球證券,44769,18.58%,112541915,44769,0.04%,柏瑞投信,柏瑞多重資產特別收益基金
柏瑞多重資產特別收益基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),5,美商高盛亞洲證券有限公司台北分公司,0,0.00%,0,0,0.00%,柏瑞投信,柏瑞多重資產特別收益基金
柏瑞拉丁美洲基金,1,群益金鼎證券,314041,28.52%,181780000,314041,0.17%,柏瑞投信,柏瑞拉丁美洲基金
柏瑞拉丁美洲基金,2,新加坡商瑞銀證券台北分公司,139804,12.69%,102002662,139804,0.14%,柏瑞投信,柏瑞拉丁美洲基金
柏瑞拉丁美洲基金,3,花旗環球證券,198277,18.00%,96757715,198277,0.20%,柏瑞投信,柏瑞拉丁美洲基金
柏瑞拉丁美洲基金,4,ITAUCHINT,187408,17.02%,95110418,187408,0.20%,柏瑞投信,柏瑞拉丁美洲基金
柏瑞拉丁美洲基金,5,摩根大通證券,80638,7.32%,88430922,80638,0.09%,柏瑞投信,柏瑞拉丁美洲基金
柏瑞中國A股量化精選基金,1,台灣摩根士丹利證券,253971,38.64%,434808871,253971,0.06%,柏瑞投信,柏瑞中國A股量化精選基金
柏瑞中國A股量化精選基金,2,CLSA LTD.,150794,22.94%,258161889,150794,0.06%,柏瑞投信,柏瑞中國A股量化精選基金
柏瑞中國A股量化精選基金,3,INSTINET PACIFICN LI,74352,11.31%,127290155,74352,0.06%,柏瑞投信,柏瑞中國A股量化精選基金
柏瑞中國A股量化精選基金,4,HSBC Sec,91001,13.84%,112733657,91001,0.08%,柏瑞投信,柏瑞中國A股量化精選基金
柏瑞中國A股量化精選基金,5,美商高盛亞洲證券有限公司台北分公司,33827,5.15%,57905007,33827,0.06%,柏瑞投信,柏瑞中國A股量化精選基金
柏瑞新興動態多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),1,BANK OF MONTREAL,0,0.00%,0,0,0.00%,柏瑞投信,柏瑞新興動態多重資產基金
柏瑞新興動態多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),2,美商高盛亞洲證券有限公司台北分公司,44499,16.49%,86762439,44499,0.05%,柏瑞投信,柏瑞新興動態多重資產基金
柏瑞新興動態多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),3,台灣摩根士丹利證券,16647,6.17%,47443253,16647,0.04%,柏瑞投信,柏瑞新興動態多重資產基金
柏瑞新興動態多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),4,INSTINET PACIFICN LI,100204,37.14%,47471830,100204,0.21%,柏瑞投信,柏瑞新興動態多重資產基金
柏瑞新興動態多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),5,新加坡商瑞銀證券台北分公司,12551,4.65%,25072705,12551,0.05%,柏瑞投信,柏瑞新興動態多重資產基金
柏瑞ESG量化多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),1,INSTINET PACIFICN LI,274257,31.97%,758154274,274257,0.04%,柏瑞投信,柏瑞ESG量化多重資產基金
柏瑞ESG量化多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),2,花旗環球證券,174311,20.32%,452425421,174311,0.04%,柏瑞投信,柏瑞ESG量化多重資產基金
柏瑞ESG量化多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),3,美商高盛亞洲證券有限公司台北分公司,88866,10.36%,344445483,88866,0.03%,柏瑞投信,柏瑞ESG量化多重資產基金
柏瑞ESG量化多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),4,ISI GROUP PROGRAM,83420,9.73%,494991326,83420,0.02%,柏瑞投信,柏瑞ESG量化多重資產基金
柏瑞ESG量化多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),5,台灣摩根士丹利證券,55332,6.45%,207552008,55332,0.03%,柏瑞投信,柏瑞ESG量化多重資產基金
柏瑞ESG量化全球股票收益基金 (本基金配息來源可能為本金),1,INSTINET PACIFICN LI,258789,29.49%,696461678,258789,0.04%,柏瑞投信,柏瑞ESG量化全球股票收益基金
柏瑞ESG量化全球股票收益基金 (本基金配息來源可能為本金),2,ISI GROUP PROGRAM,125424,14.29%,630119619,125424,0.02%,柏瑞投信,柏瑞ESG量化全球股票收益基金
柏瑞ESG量化全球股票收益基金 (本基金配息來源可能為本金),3,花旗環球證券,182015,20.74%,445772030,182015,0.04%,柏瑞投信,柏瑞ESG量化全球股票收益基金
柏瑞ESG量化全球股票收益基金 (本基金配息來源可能為本金),4,台灣摩根士丹利證券,94946,10.82%,337459349,94946,0.03%,柏瑞投信,柏瑞ESG量化全球股票收益基金
柏瑞ESG量化全球股票收益基金 (本基金配息來源可能為本金),5,新加坡商瑞銀證券台北分公司,76631,8.73%,238011121,76631,0.03%,柏瑞投信,柏瑞ESG量化全球股票收益基金
柏瑞趨勢動態多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),1,ISI GROUP PROGRAM,212482,29.07%,1716653707,212482,0.01%,柏瑞投信,柏瑞趨勢動態多重資產基金
柏瑞趨勢動態多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),2,INSTINET PACIFICN LI,217058,29.69%,616945915,217058,0.04%,柏瑞投信,柏瑞趨勢動態多重資產基金
柏瑞趨勢動態多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),3,美商高盛亞洲證券有限公司台北分公司,184054,25.18%,535794329,184054,0.03%,柏瑞投信,柏瑞趨勢動態多重資產基金
柏瑞趨勢動態多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),4,新加坡商瑞銀證券台北分公司,45627,6.24%,271530838,45627,0.02%,柏瑞投信,柏瑞趨勢動態多重資產基金
柏瑞趨勢動態多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),5,BANK OF AMERICA SEC,146,0.02%,484642,146,0.03%,柏瑞投信,柏瑞趨勢動態多重資產基金
柏瑞ESG減碳全球股票基金,1,INSTINET PACIFICN LI,80008,54.31%,168227110,80008,0.05%,柏瑞投信,柏瑞ESG減碳全球股票基金
柏瑞ESG減碳全球股票基金,2,Sanford C. Bernstein,8002,5.43%,35314762,8002,0.02%,柏瑞投信,柏瑞ESG減碳全球股票基金
柏瑞ESG減碳全球股票基金,3,ISI GROUP PROGRAM,11642,7.90%,34050569,11642,0.03%,柏瑞投信,柏瑞ESG減碳全球股票基金
柏瑞ESG減碳全球股票基金,4,台灣摩根士丹利證券,19660,13.35%,30918502,19660,0.06%,柏瑞投信,柏瑞ESG減碳全球股票基金
柏瑞ESG減碳全球股票基金,5,元大證券,6116,4.15%,7645000,6116,0.08%,柏瑞投信,柏瑞ESG減碳全球股票基金
柏瑞利率對策多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),1,ISI GROUP PROGRAM,7528,68.70%,101010073,7528,0.01%,柏瑞投信,柏瑞利率對策多重資產基金
柏瑞利率對策多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),2,TORONTO DOMINION,0,0.00%,0,0,0.00%,柏瑞投信,柏瑞利率對策多重資產基金
柏瑞利率對策多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),3,美商高盛亞洲證券有限公司台北分公司,2617,23.88%,27626187,2617,0.01%,柏瑞投信,柏瑞利率對策多重資產基金
柏瑞利率對策多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),4,群益金鼎證券,0,0.00%,0,0,0.00%,柏瑞投信,柏瑞利率對策多重資產基金
柏瑞利率對策多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),5,CIBC LDN,0,0.00%,0,0,0.00%,柏瑞投信,柏瑞利率對策多重資產基金
柏瑞科技多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),1,ISI GROUP PROGRAM,17895,17.15%,208041732,17895,0.01%,柏瑞投信,柏瑞科技多重資產基金
柏瑞科技多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),2,台灣摩根士丹利證券,22405,21.47%,93697478,22405,0.02%,柏瑞投信,柏瑞科技多重資產基金
柏瑞科技多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),3,新加坡商瑞銀證券台北分公司,22640,21.70%,125833494,22640,0.02%,柏瑞投信,柏瑞科技多重資產基金
柏瑞科技多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),4,美商高盛亞洲證券有限公司台北分公司,12048,11.55%,64229714,12048,0.02%,柏瑞投信,柏瑞科技多重資產基金
柏瑞科技多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),5,JANE STREET,0,0.00%,0,0,0.00%,柏瑞投信,柏瑞科技多重資產基金
復華台灣未來50主動式ETF基金 (基金之配息來源可能為收益平準金),1,永豐金證券,21441822,13.56%,23825064000,21441822,0.09%,復華投信,復華台灣未來50主動式ETF基金
復華台灣未來50主動式ETF基金 (基金之配息來源可能為收益平準金),2,元大證券,21035502,13.31%,23373698150,21035502,0.09%,復華投信,復華台灣未來50主動式ETF基金
復華台灣未來50主動式ETF基金 (基金之配息來源可能為收益平準金),3,富邦證券,17079154,10.80%,18977954700,17079154,0.09%,復華投信,復華台灣未來50主動式ETF基金
復華台灣未來50主動式ETF基金 (基金之配息來源可能為收益平準金),4,凱基證券,16995233,10.75%,18884250400,16995233,0.09%,復華投信,復華台灣未來50主動式ETF基金
復華台灣未來50主動式ETF基金 (基金之配息來源可能為收益平準金),5,群益金鼎證券,14819165,9.37%,16466380600,14819165,0.09%,復華投信,復華台灣未來50主動式ETF基金
復華全球金融股票入息主動式ETF基金 (基金之配息來源可能為收益平準金且該基金並無保證收益及配息),1,SinoPac Securities (Asia),3648242,21.27%,3588876878,3648242,0.10%,復華投信,復華全球金融股票入息主動式ETF基金
復華全球金融股票入息主動式ETF基金 (基金之配息來源可能為收益平準金且該基金並無保證收益及配息),2,富邦證券,3468216,20.22%,1970095291,3468216,0.18%,復華投信,復華全球金融股票入息主動式ETF基金
