基金名稱,名次,券商,總手續費,總手續費占比,交易金額,股票手續費,平均手續費率,投信,主基金名稱
兆豐台灣先進通訊基金,4,統一綜合證券,173721,10.22%,173606753,173721,0.10%,兆豐投信,兆豐台灣先進通訊基金
兆豐台灣先進通訊基金,5,國泰綜合證券,128832,7.58%,128673313,128832,0.10%,兆豐投信,兆豐台灣先進通訊基金
兆豐台灣金傳精選股息基金,1,兆豐證券,35710,18.56%,35733549,35710,0.10%,兆豐投信,兆豐台灣金傳精選股息基金
兆豐台灣金傳精選股息基金,2,統一綜合證券,34731,18.05%,34769723,34731,0.10%,兆豐投信,兆豐台灣金傳精選股息基金
兆豐台灣金傳精選股息基金,3,合作金庫證券,20612,10.71%,20649003,20612,0.10%,兆豐投信,兆豐台灣金傳精選股息基金
兆豐台灣金傳精選股息基金,4,凱基證券,19583,10.18%,19538048,19583,0.10%,兆豐投信,兆豐台灣金傳精選股息基金
兆豐台灣金傳精選股息基金,5,中信證券,18394,9.56%,18326412,18394,0.10%,兆豐投信,兆豐台灣金傳精選股息基金
兆豐全球元宇宙科技基金,1,凱基證券,92021,17.85%,92000018,92021,0.10%,兆豐投信,兆豐全球元宇宙科技基金
兆豐全球元宇宙科技基金,2,玉山綜合證券,64177,12.45%,64191338,64177,0.10%,兆豐投信,兆豐全球元宇宙科技基金
兆豐全球元宇宙科技基金,3,群益金鼎證券,92755,18.00%,62186942,92755,0.15%,兆豐投信,兆豐全球元宇宙科技基金
兆豐全球元宇宙科技基金,4,兆豐證券,49805,9.66%,48615059,49805,0.10%,兆豐投信,兆豐全球元宇宙科技基金
兆豐全球元宇宙科技基金,5,DAIWA,92151,17.88%,46076136,92151,0.20%,兆豐投信,兆豐全球元宇宙科技基金
兆豐洲際半導體ETF基金,1,凱基證券,353214,24.82%,353362051,353214,0.10%,兆豐投信,兆豐洲際半導體ETF基金
兆豐洲際半導體ETF基金,2,永豐金證券,396006,27.83%,330130914,396006,0.12%,兆豐投信,兆豐洲際半導體ETF基金
兆豐洲際半導體ETF基金,3,國泰綜合證券,201768,14.18%,252312582,201768,0.08%,兆豐投信,兆豐洲際半導體ETF基金
兆豐洲際半導體ETF基金,4,統一綜合證券,156754,11.02%,196101853,156754,0.08%,兆豐投信,兆豐洲際半導體ETF基金
兆豐洲際半導體ETF基金,5,元大證券,199249,14.00%,166138878,199249,0.12%,兆豐投信,兆豐洲際半導體ETF基金
兆豐特選台灣晶圓製造ETF基金,1,兆豐證券,667304,20.97%,667763269,667304,0.10%,兆豐投信,兆豐特選台灣晶圓製造ETF基金
兆豐特選台灣晶圓製造ETF基金,2,富邦證券,458060,14.39%,457818949,458060,0.10%,兆豐投信,兆豐特選台灣晶圓製造ETF基金
兆豐特選台灣晶圓製造ETF基金,3,統一綜合證券,368132,11.57%,368555148,368132,0.10%,兆豐投信,兆豐特選台灣晶圓製造ETF基金
兆豐特選台灣晶圓製造ETF基金,4,凱基證券,334330,10.51%,334782549,334330,0.10%,兆豐投信,兆豐特選台灣晶圓製造ETF基金
兆豐特選台灣晶圓製造ETF基金,5,群益金鼎證券,330377,10.38%,330345078,330377,0.10%,兆豐投信,兆豐特選台灣晶圓製造ETF基金
兆豐台灣產業龍頭存股等權重ETF基金 (本基金之配息來源可能為收益平準金),1,富邦證券,436185,20.11%,434938070,436185,0.10%,兆豐投信,兆豐台灣產業龍頭存股等權重ETF基金
兆豐台灣產業龍頭存股等權重ETF基金 (本基金之配息來源可能為收益平準金),2,凱基證券,406411,18.74%,405467486,406411,0.10%,兆豐投信,兆豐台灣產業龍頭存股等權重ETF基金
兆豐台灣產業龍頭存股等權重ETF基金 (本基金之配息來源可能為收益平準金),3,中信證券,400207,18.45%,400646434,400207,0.10%,兆豐投信,兆豐台灣產業龍頭存股等權重ETF基金
兆豐台灣產業龍頭存股等權重ETF基金 (本基金之配息來源可能為收益平準金),4,群益金鼎證券,252511,11.64%,252612544,252511,0.10%,兆豐投信,兆豐台灣產業龍頭存股等權重ETF基金
兆豐台灣產業龍頭存股等權重ETF基金 (本基金之配息來源可能為收益平準金),5,永豐金證券,165973,7.65%,167224090,165973,0.10%,兆豐投信,兆豐台灣產業龍頭存股等權重ETF基金
兆豐日本優勢多重資產基金 (本基金之配息來源可能為本金),1,中信證券,399312,20.11%,341641972,399312,0.12%,兆豐投信,兆豐日本優勢多重資產基金
兆豐日本優勢多重資產基金 (本基金之配息來源可能為本金),2,凱基證券,396637,19.97%,325769274,396637,0.12%,兆豐投信,兆豐日本優勢多重資產基金
兆豐日本優勢多重資產基金 (本基金之配息來源可能為本金),3,永豐金證券,248268,12.50%,176250245,248268,0.14%,兆豐投信,兆豐日本優勢多重資產基金
兆豐日本優勢多重資產基金 (本基金之配息來源可能為本金),4,群益金鼎證券,256261,12.90%,170812500,256261,0.15%,兆豐投信,兆豐日本優勢多重資產基金
兆豐日本優勢多重資產基金 (本基金之配息來源可能為本金),5,統一綜合證券,184668,9.30%,148056972,184668,0.12%,兆豐投信,兆豐日本優勢多重資產基金
兆豐收益增長多重資產基金 (本基金之配息來源可能為本金),1,凱基證券,275585,20.47%,275410382,275585,0.10%,兆豐投信,兆豐收益增長多重資產基金
兆豐收益增長多重資產基金 (本基金之配息來源可能為本金),2,中信證券,273028,20.28%,272551343,273028,0.10%,兆豐投信,兆豐收益增長多重資產基金
兆豐收益增長多重資產基金 (本基金之配息來源可能為本金),3,MS,418171,31.06%,167044231,418171,0.25%,兆豐投信,兆豐收益增長多重資產基金
兆豐收益增長多重資產基金 (本基金之配息來源可能為本金),4,國泰綜合證券,86989,6.46%,99310658,86989,0.09%,兆豐投信,兆豐收益增長多重資產基金
兆豐收益增長多重資產基金 (本基金之配息來源可能為本金),5,富邦證券,81267,6.04%,91476176,81267,0.09%,兆豐投信,兆豐收益增長多重資產基金
兆豐台灣ESG永續高股息等權重 ETF 基金 (基金之配息來源可能為收益平準金且本基金並無保證收益及配息),1,兆豐證券,926492,16.56%,925620396,926492,0.10%,兆豐投信,兆豐台灣ESG永續高股息等權重 ETF 基金
兆豐台灣ESG永續高股息等權重 ETF 基金 (基金之配息來源可能為收益平準金且本基金並無保證收益及配息),2,永豐金證券,812658,14.52%,816190437,812658,0.10%,兆豐投信,兆豐台灣ESG永續高股息等權重 ETF 基金
兆豐台灣ESG永續高股息等權重 ETF 基金 (基金之配息來源可能為收益平準金且本基金並無保證收益及配息),3,群益金鼎證券,711879,12.72%,711174235,711879,0.10%,兆豐投信,兆豐台灣ESG永續高股息等權重 ETF 基金
兆豐台灣ESG永續高股息等權重 ETF 基金 (基金之配息來源可能為收益平準金且本基金並無保證收益及配息),4,凱基證券,708505,12.66%,707795079,708505,0.10%,兆豐投信,兆豐台灣ESG永續高股息等權重 ETF 基金
兆豐台灣ESG永續高股息等權重 ETF 基金 (基金之配息來源可能為收益平準金且本基金並無保證收益及配息),5,統一綜合證券,560331,10.01%,560657691,560331,0.10%,兆豐投信,兆豐台灣ESG永續高股息等權重 ETF 基金
兆豐台灣電子成長高息等權重ETF基金 (基金之配息來源可能為收益平準金且本基金並無保證收益及配息),1,兆豐證券,343904,28.28%,343737919,343904,0.10%,兆豐投信,兆豐台灣電子成長高息等權重ETF基金
兆豐台灣電子成長高息等權重ETF基金 (基金之配息來源可能為收益平準金且本基金並無保證收益及配息),2,凱基證券,283224,23.29%,283079712,283224,0.10%,兆豐投信,兆豐台灣電子成長高息等權重ETF基金
兆豐台灣電子成長高息等權重ETF基金 (基金之配息來源可能為收益平準金且本基金並無保證收益及配息),3,群益金鼎證券,240376,19.77%,240401189,240376,0.10%,兆豐投信,兆豐台灣電子成長高息等權重ETF基金
兆豐台灣電子成長高息等權重ETF基金 (基金之配息來源可能為收益平準金且本基金並無保證收益及配息),4,永豐金證券,175717,14.45%,175923270,175717,0.10%,兆豐投信,兆豐台灣電子成長高息等權重ETF基金
兆豐台灣電子成長高息等權重ETF基金 (基金之配息來源可能為收益平準金且本基金並無保證收益及配息),5,國泰綜合證券,77549,6.38%,77527745,77549,0.10%,兆豐投信,兆豐台灣電子成長高息等權重ETF基金
第一金量化日本基金,1,第一金證券,1076522,13.05%,897111736,1076522,0.12%,第一金投信,第一金量化日本基金
第一金量化日本基金,2,Mizuho Securities Asia Limited,996903,12.08%,766850187,996903,0.13%,第一金投信,第一金量化日本基金
第一金量化日本基金,3,統一綜合證券,823608,9.98%,686348635,823608,0.12%,第一金投信,第一金量化日本基金
第一金量化日本基金,4,華南永昌綜合證券,701029,8.50%,584190420,701029,0.12%,第一金投信,第一金量化日本基金
第一金量化日本基金,5,群益金鼎證券,1140531,13.82%,570266367,1140531,0.20%,第一金投信,第一金量化日本基金
第一金美元優選收益非投資等級債券ETF基金 (本基金之配息來源可能為收益平準金),1,Jane Street,0,0.00%,0,0,0.00%,第一金投信,第一金美元優選收益非投資等級債券ETF基金
第一金美元優選收益非投資等級債券ETF基金 (本基金之配息來源可能為收益平準金),2,元大證券,0,0.00%,0,0,0.00%,第一金投信,第一金美元優選收益非投資等級債券ETF基金
第一金美元優選收益非投資等級債券ETF基金 (本基金之配息來源可能為收益平準金),3,nan,0,0.00%,0,0,0.00%,第一金投信,第一金美元優選收益非投資等級債券ETF基金
第一金美元優選收益非投資等級債券ETF基金 (本基金之配息來源可能為收益平準金),4,nan,0,0.00%,0,0,0.00%,第一金投信,第一金美元優選收益非投資等級債券ETF基金
第一金美元優選收益非投資等級債券ETF基金 (本基金之配息來源可能為收益平準金),5,nan,0,0.00%,0,0,0.00%,第一金投信,第一金美元優選收益非投資等級債券ETF基金
第一金台股趨勢優選主動式ETF基金 (本基金配息來源可能為收益平準金),1,第一金證券,3804288,20.75%,4227387519,3804288,0.09%,第一金投信,第一金台股趨勢優選主動式ETF基金
第一金台股趨勢優選主動式ETF基金 (本基金配息來源可能為收益平準金),2,群益金鼎證券,2902195,15.83%,3224982032,2902195,0.09%,第一金投信,第一金台股趨勢優選主動式ETF基金
第一金台股趨勢優選主動式ETF基金 (本基金配息來源可能為收益平準金),3,永豐金證券,2789351,15.21%,3099565450,2789351,0.09%,第一金投信,第一金台股趨勢優選主動式ETF基金
第一金台股趨勢優選主動式ETF基金 (本基金配息來源可能為收益平準金),4,凱基證券,2556399,13.94%,2840775354,2556399,0.09%,第一金投信,第一金台股趨勢優選主動式ETF基金
第一金台股趨勢優選主動式ETF基金 (本基金配息來源可能為收益平準金),5,國泰綜合證券,2216569,12.09%,2463066254,2216569,0.09%,第一金投信,第一金台股趨勢優選主動式ETF基金
第一金台股趨勢優股息主動式ETF基金 (本基金並無保證收益及配息且配息來源可能為收益平準金),1,第一金證券,710879,21.93%,789946050,710879,0.09%,第一金投信,第一金台股趨勢優股息主動式ETF基金
第一金台股趨勢優股息主動式ETF基金 (本基金並無保證收益及配息且配息來源可能為收益平準金),2,群益金鼎證券,630357,19.45%,700479750,630357,0.09%,第一金投信,第一金台股趨勢優股息主動式ETF基金
第一金台股趨勢優股息主動式ETF基金 (本基金並無保證收益及配息且配息來源可能為收益平準金),3,元大證券,527258,16.27%,585909150,527258,0.09%,第一金投信,第一金台股趨勢優股息主動式ETF基金
第一金台股趨勢優股息主動式ETF基金 (本基金並無保證收益及配息且配息來源可能為收益平準金),4,統一綜合證券,520239,16.05%,578088750,520239,0.09%,第一金投信,第一金台股趨勢優股息主動式ETF基金
第一金台股趨勢優股息主動式ETF基金 (本基金並無保證收益及配息且配息來源可能為收益平準金),5,永豐金證券,446685,13.78%,496389930,446685,0.09%,第一金投信,第一金台股趨勢優股息主動式ETF基金
第一金全球大趨勢基金,1,第一金證券,492102,21.15%,478509874,492102,0.10%,第一金投信,第一金全球大趨勢基金
第一金全球大趨勢基金,2,永豐金證券,431548,18.54%,359202732,431548,0.12%,第一金投信,第一金全球大趨勢基金
第一金全球大趨勢基金,3,台新證券,340091,14.61%,338848528,340091,0.10%,第一金投信,第一金全球大趨勢基金
第一金全球大趨勢基金,4,國泰綜合證券,336201,14.45%,314799649,336201,0.11%,第一金投信,第一金全球大趨勢基金
第一金全球大趨勢基金,5,富邦證券,337294,14.49%,306764372,337294,0.11%,第一金投信,第一金全球大趨勢基金
第一金亞洲科技基金,1,第一金證券,577687,20.46%,419608822,577687,0.14%,第一金投信,第一金亞洲科技基金
第一金亞洲科技基金,2,永豐金證券,328357,11.63%,224821181,328357,0.15%,第一金投信,第一金亞洲科技基金
第一金亞洲科技基金,3,Okasan International (Asia) Ltd,342690,12.14%,218189163,342690,0.16%,第一金投信,第一金亞洲科技基金
第一金亞洲科技基金,4,富邦證券,334013,11.83%,203503816,334013,0.16%,第一金投信,第一金亞洲科技基金
第一金亞洲科技基金,5,中信證券(香港)有限公司,366904,12.99%,192694653,366904,0.19%,第一金投信,第一金亞洲科技基金
第一金電子基金,1,第一金證券,2097353,13.32%,2330514541,2097353,0.09%,第一金投信,第一金電子基金
第一金電子基金,2,元大證券,1911878,12.14%,2124397483,1911878,0.09%,第一金投信,第一金電子基金
