基金名稱,是複委託
統一台股升級50主動式ETF基金 (基金之配息來源可能為收益平準金),FALSE
統一全天候基金,FALSE
統一大滿貫基金,FALSE
統一亞太基金,TRUE
統一大龍印基金,TRUE
統一大中華中小基金,TRUE
統一新亞洲科技能源基金,TRUE
統一亞洲大金磚基金,TRUE
統一大龍騰中國基金,TRUE
統一全球新科技基金,TRUE
統一全球動態多重資產基金 (基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),TRUE
統一強漢基金,TRUE
統一台灣動力基金,FALSE
統一大東協高股息基金,TRUE
統一NYSE FANG+ ETF基金,TRUE
統一奔騰基金,FALSE
統一彭博10年期以上Aa至A級美元優質公司債券ETF基金 (基金之配息來源可能為收益平準金),FALSE
統一全球智聯網AIoT基金,TRUE
統一統信基金,FALSE
統一經建基金,FALSE
統一黑馬基金,FALSE
統一龍馬基金,FALSE
統一彭博美國20年期以上公債ETF基金 (基金之配息來源可能為收益平準金),FALSE
統一台灣高息優選基金 (本基金並無保證收益及配息，配息來源可能為本金及收益平準金),FALSE
統一台灣高息動能ETF基金 (本基金並無保證收益及配息，配息來源可能為收益平準金),FALSE
統一中小基金,FALSE
富邦台灣優質多重資產基金,FALSE
富邦台灣旗艦動能50ETF基金 (本基金之配息來源可能為收益平準金),FALSE
富邦台灣淨零轉型ESG50 ETF基金 (本基金之配息來源可能為收益平準金),FALSE
富邦雙核心戰略多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金及收益平準金),TRUE
富邦優選收益傘型基金之富邦環球動態入息投資級債主動式ETF基金 (本基金之配息來源可能為收益平準金且基金並無保證收益及配息),TRUE
富邦優選收益傘型基金之富邦環球複合優選收益債主動式ETF基金 (本基金有一定比重得投資於非投資等級之高風險債券且基金之配息來源可能為收益平準金且基金並無保證收益及配息),TRUE
富邦美國傘型基金之富邦NASDAQ-100指數基金 (本基金之配息來源可能為本金及收益平準金),TRUE
富邦美國傘型基金之富邦標普500指數基金 (本基金之配息來源可能為本金及收益平準金),TRUE
富邦美國傘型基金之富邦標普500 ETF基金 (本基金之配息來源可能為收益平準金),TRUE
富邦台灣龍耀主動式ETF基金 (本基金之配息來源可能為收益平準金),FALSE
富邦基金,FALSE
富邦精選五虎基金,FALSE
富邦台灣心基金,FALSE
富邦高科技基金,FALSE
富邦日盛基金,FALSE
富邦精銳中小基金,FALSE
富邦MIT主流基金,FALSE
富邦中國內需動力基金,TRUE
富邦上証180基金,TRUE
富邦台灣釆吉50基金 (本基金之配息來源可能為收益平準金),FALSE
富邦中國ETF傘型基金之富邦上証180單日正向兩倍基金,TRUE
富邦深証100基金,TRUE
富邦日本東証基金 (本基金採匯率避險),TRUE
富邦印度ETF傘型基金之富邦印度NIFTY基金,TRUE
富邦NASDAQ-100基金,TRUE
富邦中國戰略A股基金,TRUE
富邦恒生國企ETF基金,TRUE
富邦歐亞絲路多重資產型基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),TRUE
富邦臺灣公司治理100基金,FALSE
富邦富時歐洲ETF基金,TRUE
富邦標普美國特別股ETF基金,TRUE
富邦台灣科技指數基金 (本基金之配息來源可能為收益平準金),FALSE
富邦大中華成長基金,TRUE
富邦亞洲機會基金,TRUE
富邦首選基金,FALSE
富邦全球抗暖化基金 (本基金非屬環境、社會及治理相關主題基金),TRUE
富邦台灣ETF傘型基金之富邦台灣摩根指數股票型基金,FALSE
